[local] 3 0 -1 0.865888 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 0 -5 0.86499 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 0 -8 0.864959 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -4 0.694812 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -2 0.69523 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -6 0.694762 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -3 0.694888 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -7 0.694756 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -1 0.695758 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -5 0.694775 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 3 -5 -8 0.694749 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -4 0.683814 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -6 0.683775 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -2 0.684216 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -7 0.683756 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -3 0.683923 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -1 0.68476 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -5 0.683799 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -4 -8 0.683758 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -4 0.753312 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -2 0.753634 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -6 0.753229 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -7 0.753222 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -3 0.753369 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -1 0.754045 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -5 0.753237 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -2 -8 0.753225 (best c=8.0, g=0.00390625, p=0.5, corr_coef=0.650069)
[local] 1 -7 -4 0.631267 (best c=2.0, g=0.0078125, p=0.0625, corr_coef=0.631267)
[local] 1 -7 -6 0.631271 (best c=2.0, g=0.0078125, p=0.0625, corr_coef=0.631267)
[local] 1 -7 -2 0.631576 (best c=2.0, g=0.0078125, p=0.0625, corr_coef=0.631267)
[local] 1 -7 -3 0.631402 (best c=2.0, g=0.0078125, p=0.0625, corr_coef=0.631267)
[local] 1 -7 -7 0.63124 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -7 -1 0.631644 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -7 -5 0.631348 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -7 -8 0.631251 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -4 0.799981 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -6 0.799896 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -2 0.800286 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -3 0.800132 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -7 0.799881 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -1 0.800402 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -5 0.799918 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -1 -8 0.79988 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -6 -4 0.651254 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -6 -6 0.651208 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -6 -2 0.650906 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -6 -7 0.651198 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -6 -3 0.651119 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -6 -5 0.651222 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -6 -1 0.650595 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -4 0.712996 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
